library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL6058444,active,473.37100000000027,2.9668,4,3,99.33000000000001,6,2,30,0,0.5193486444631348,0.3181818181818182,0
fpr2_actives_chembl,CHEMBL5791453,active,362.2230000000001,3.300600000000002,2,2,66.39999999999999,3,1,22,0,0.8112549493237249,0.4117647058823529,0
fpr2_actives_chembl,CHEMBL5970436,active,518.5770000000002,5.110280000000004,3,5,130.98000000000002,7,4,39,0,0.29269881159479194,0.16666666666666666,2
fpr2_actives_chembl,CHEMBL5997626,active,411.2390000000002,3.3667000000000025,2,2,66.39999999999999,3,1,22,0,0.7502039600590876,0.5294117647058824,0
fpr2_actives_chembl,CHEMBL5842031,active,517.6110000000004,3.694180000000002,3,6,145.39,7,3,37,0,0.4357096711342831,0.2222222222222222,1
fpr2_actives_chembl,CHEMBL5774291,active,554.6320000000003,4.311180000000004,3,6,148.05,7,4,40,0,0.31004414210657744,0.1724137931034483,1
fpr2_actives_chembl,CHEMBL5832585,active,423.25,3.698900000000002,2,2,66.4,3,1,23,0,0.5758617769530471,0.3333333333333333,0
fpr2_actives_chembl,CHEMBL6060628,active,366.2550000000001,3.7706000000000017,2,2,66.4,3,1,22,0,0.8559234272129715,0.5294117647058824,0
fpr2_actives_chembl,CHEMBL6038726,active,413.2550000000001,3.612700000000001,2,2,66.4,3,1,22,0,0.7446047893223301,0.5294117647058824,0
fpr2_actives_chembl,CHEMBL5886823,active,532.6010000000003,4.307500000000004,3,5,126.07,7,4,38,0,0.30597753251453336,0.18518518518518517,1
fpr2_actives_chembl,CHEMBL5922960,active,548.6000000000003,3.973600000000003,3,6,137.15,7,4,39,0,0.3196298284154021,0.18518518518518517,1
fpr2_actives_chembl,CHEMBL5763874,active,522.0300000000003,6.004300000000003,3,5,103.26,7,4,36,0,0.25854642089024105,0.19230769230769232,2
fpr2_actives_chembl,CHEMBL5980714,active,533.0570000000004,5.806300000000004,3,5,103.01,7,4,37,0,0.205860027375813,0.18518518518518517,2
fpr2_actives_chembl,CHEMBL5864906,active,331.43700000000007,3.4840000000000027,2,3,66.4,4,1,23,0,0.8290346256080549,0.5555555555555556,0
